Guruh,Sinf,Pozitsiya,Subpozitsiya
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008003 - Қуёнлар
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008004 - Сичқонлар
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008006 - Денгиз чўчқалари
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008007 - Хомяклар
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008008 - Итлар
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008009 - Енотлар
001 - ТИРИК ҲАЙВОНЛАР,00199 - Бошқа тирик ҳайвонлар,00199008 - Сутемизувчилар,00199008013 - Бошқа сут эмизувчилар
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201001 - Янги, совутилган ёки музлатилган лаҳм йирик қорамол гўшти",00201001001 - Совутилган лаҳм мол гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201001 - Янги, совутилган ёки музлатилган лаҳм йирик қорамол гўшти",00201001002 - Музлатилган суяксиз гўшт (мол гўшти)
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201001 - Янги, совутилган ёки музлатилган лаҳм йирик қорамол гўшти","00201001003 - Музлатилган суяксиз мол гўшти, майдаланган"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201001 - Янги, совутилган ёки музлатилган лаҳм йирик қорамол гўшти",00201001004 - Мол гўштидан фарш
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201002 - Янги, совутилган ёки музлатилган қорамолларнинг тўлиқ ва ярим қовурға суяклари","00201002001 - Янги, совутилган йирик қорамол тўлиқ ва ярим қовурға гўшти (мол гўшти)"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201002 - Янги, совутилган ёки музлатилган қорамолларнинг тўлиқ ва ярим қовурға суяклари",00201002002 - Музлатилган йирик қорамол тўлиқ ва ярим қовурға гўшти (мол гўшти)
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201003 - Янги, совутилган ёки музлатилган, кесиб олинган лаҳм йирик қорамол гўшти","00201003001 - Янги, совутилган суякли мол гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00201 - Янги, совутилган ёки музлатилган қорамол гўшти","00201003 - Янги, совутилган ёки музлатилган, кесиб олинган лаҳм йирик қорамол гўшти","00201003002 - Суякли мол гўшти, музлатилган"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган",00203001 - Лаҳм гўшт,00203001001 - Совутилган лаҳм чўчқа гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган",00203001 - Лаҳм гўшт,00203001002 - Чўчқа гўшти қиймаси
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган",00203001 - Лаҳм гўшт,00203001003 - Музлатилган лаҳм чўчқа гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган","00203002 - Янги, совутилган ёки музлатилган лаҳм чўчқа гўшти","00203002001 - Янги, совутилган бўлинган чўчқа гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган","00203002 - Янги, совутилган ёки музлатилган лаҳм чўчқа гўшти",00203002002 - Музлатилган бўлинган чўчқа гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган","00203003 - Янги, совутилган ёки музлатилган қовурға ёки ярим қовурға суяклари",00203003001 - Музлатилган қовурға ёки ярим қовурға суяклари чўчқа гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00203 - Чўчқа гўшти, янги сўйилган, совутилган ёки музлатилган","00203003 - Янги, совутилган ёки музлатилган қовурға ёки ярим қовурға суяклари","00203003002 - Янги сўйилган қовурға ёки ярим қовурға, совутилган чўчқа гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204001 - Янги, совутилган ёки музлатилган лаҳм қўй гўшти","00204001001 - Бўлинган янги, совутилган лаҳм қўй гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204001 - Янги, совутилган ёки музлатилган лаҳм қўй гўшти",00204001005 - Бўлинган музлатилган лаҳм қўй гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган",00204002 - Лаҳм қўй гўшти,"00204002001 - Совутилган, янги сўйилган лаҳм қўй гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган",00204002 - Лаҳм қўй гўшти,00204002002 - Музлатилган қўй гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган",00204002 - Лаҳм қўй гўшти,00204002003 - Қўй гўшти қиймаси
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204003 - Янги, совутилган ёки музлатилган қўй қовурғаси ёки ярим қовурға суяклари","00204003001 - Янги сўйилган, совутилган қўй қовурғаси ёки ярим қовурға гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204003 - Янги, совутилган ёки музлатилган қўй қовурғаси ёки ярим қовурға суяклари",00204003002 - Музлатилган қўй қовурғаси ёки ярим қовурға суяклари
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204004 - Бўлинган янги, совутилган ёки музлатилган лаҳм эчки гўшти","00204004001 - Бўлинган янги, совутилган эчки гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204004 - Бўлинган янги, совутилган ёки музлатилган лаҳм эчки гўшти",00204004002 - Бўлинган музлатилган эчки гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган",00204005 - Лаҳм эчки гўшти,"00204005001 - Янги, совутилган эчки гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган",00204005 - Лаҳм эчки гўшти,00204005002 - Музлатилган эчки гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган",00204005 - Лаҳм эчки гўшти,00204005003 - Эчки гўшти қиймаси
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204006 - Янги, совутилган ёки музлатилган эчки қовурғаси ёки ярим қовурға суяклари","00204006001 - Янги сўйилган, совутилган эчки қовурғаси ёки ярим қовурға суяклари"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00204 - Қўй ёки эчки гўшти янги сўйилган, совутилган ёки музлатилган","00204006 - Янги, совутилган ёки музлатилган эчки қовурғаси ёки ярим қовурға суяклари",00204006002 - Музлатилган эчки қовурғаси ёки ярим қовурға суяклари
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205001 - Бўлинган, совутилган ёки музлатилган лаҳм от гўшти","00205001001 - Янги, совутилган от гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205001 - Бўлинган, совутилган ёки музлатилган лаҳм от гўшти",00205001005 - Музлатилган от гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган",00205002 - Лаҳм от гўшти,"00205002001 - Янги сўйилган, совутилган лаҳм от гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган",00205002 - Лаҳм от гўшти,00205002002 - Музлатилган лаҳм от гўшти
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган",00205002 - Лаҳм от гўшти,00205002003 - От гўштидан қийма
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205003 - Янги, совутилган ёки музлатилган от қовурғаси ёки ярим қовурғаси","00205003001 - Янги сўйилган, совутилган от қовурғаси ёки ярим қовурғаси"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205003 - Янги, совутилган ёки музлатилган от қовурғаси ёки ярим қовурғаси",00205003002 - Музлатилган от қовурғаси ёки ярим қовурғаси
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205004 - От, эшак ва хачирларнинг бўлинган янги, совутилган ёки музлатилган, суякдан ажратилмаган","00205004001 - Бўлинган янги от, эшак, хачир гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205004 - От, эшак ва хачирларнинг бўлинган янги, совутилган ёки музлатилган, суякдан ажратилмаган","00205004002 - Бўлинган, музлатилган эшак, хачир гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205005 - От, эшак ёки хачирнинг суякдан ажратилган гўшт","00205005001 - Янги сўйилган, совутилган, эшак, хачир суяксиз гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган","00205005 - От, эшак ёки хачирнинг суякдан ажратилган гўшт","00205005002 - Музлатилган эшак, хачир гўшти"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган",00205006 - Эшаклар ёки хачирларнинг тана ва ярим тана гўштлари,"00205006001 - Янги сўйилган, эшак, хачир қовурға ёки ярим қовурғаси"
002 - ГЎШТ ВА ГЎШТЛИ ОЗИҚ-ОВҚАТ СУБМАҲСУЛОТЛАРИ,"00205 - Отлар, эшаклар, ёки хачирлар гўшти янги сўйилган, совутилган ёки музлатилган",00205006 - Эшаклар ёки хачирларнинг тана ва ярим тана гўштлари,"00205006002 - Музлатилган от, эшак, хачир қовурғаси ёки ярим қовурға суяклари"
